action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,0,117.30.141.55,192.168.1.8,16503,42065,0,1.0,1.0,1.0
0,0,118.181.243.65,192.168.1.8,17841,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,188.27.184.94,42065,25969,1,1.0,1.0,1.0
0,1,192.168.1.8,188.27.184.94,57562,25969,1,1.0,1.0,1.0
0,0,58.179.157.19,192.168.1.8,9073,42065,0,1.0,1.0,1.0
0,1,174.129.127.115,192.168.1.8,57133,42065,0,-999.0,1.0,-499.0
0,0,77.177.22.24,192.168.1.8,6883,42065,0,1.0,1.0,1.0
0,0,118.140.42.122,192.168.1.8,65134,42065,0,1.0,1.0,1.0
0,0,183.155.60.235,192.168.1.8,7551,42065,0,1.0,1.0,1.0
0,0,216.151.180.161,192.168.1.8,50321,42065,0,1.0,1.0,1.0
0,0,5.37.169.122,192.168.1.8,45789,42065,0,1.0,1.0,1.0
0,1,43.243.82.54,192.168.1.8,36935,42065,0,5.7,1.0,3.35
0,0,111.241.27.166,192.168.1.8,5098,42065,0,1.0,1.0,1.0
0,1,192.168.1.8,144.137.72.243,57565,37096,1,1.0,1.0,1.0
0,0,110.82.170.5,192.168.1.8,6374,42065,0,1.0,1.0,1.0
0,0,190.181.48.31,192.168.1.8,50321,42065,0,1.0,1.0,1.0
0,0,45.241.223.111,192.168.1.8,27800,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,103.232.154.39,42065,54786,1,1.0,1.0,1.0
0,1,103.199.161.6,192.168.1.8,21394,42065,0,8.6,1.0,4.8
0,0,106.44.239.202,192.168.1.8,12737,42065,0,1.0,1.0,1.0
0,0,213.136.79.238,192.168.1.8,51510,42065,0,1.0,1.0,1.0
0,0,119.86.142.131,192.168.1.8,14536,42065,0,1.0,1.0,1.0
0,0,213.136.79.205,192.168.1.8,7167,42065,0,1.0,1.0,1.0
0,0,117.84.94.2,192.168.1.8,26902,42065,0,1.0,1.0,1.0
0,0,175.8.128.175,192.168.1.8,20495,42065,0,1.0,1.0,1.0
0,0,173.35.97.214,192.168.1.8,6884,42065,0,1.0,1.0,1.0
0,0,1.161.128.107,192.168.1.8,25080,42065,0,1.0,1.0,1.0
0,0,213.99.35.18,192.168.1.8,30455,42065,0,1.0,1.0,1.0
0,0,120.149.37.162,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,0,76.7.230.176,192.168.1.8,26711,42065,0,1.0,1.0,1.0
0,1,80.3.234.79,192.168.1.8,49182,42065,0,1.0,1.0,1.0
0,1,104.207.83.2,192.168.1.8,49681,42065,0,1.0,1.0,1.0
0,0,192.168.1.8,183.82.136.116,42065,50321,1,1.0,1.0,1.0
0,0,103.66.176.94,192.168.1.8,28513,42065,0,2.9,1.0,1.95
0,0,58.216.247.74,192.168.1.8,9833,42065,0,1.0,1.0,1.0
0,0,84.229.29.52,192.168.1.8,20959,42065,0,1.0,1.0,1.0
0,0,46.116.87.205,192.168.1.8,1033,42065,0,1.0,1.0,1.0
0,0,114.25.217.196,192.168.1.8,7226,42065,0,1.0,1.0,1.0
0,0,27.28.54.123,192.168.1.8,21183,42065,0,1.0,1.0,1.0
0,1,197.245.31.40,192.168.1.8,53870,42065,0,5.7,1.0,3.35
0,0,115.228.237.162,192.168.1.8,55142,42065,0,1.0,1.0,1.0
0,0,36.235.92.214,192.168.1.8,7521,42065,0,1.0,1.0,1.0
0,0,23.248.4.68,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,1,212.252.142.105,192.168.1.8,14254,42065,0,1.0,1.0,1.0
0,1,106.51.154.26,192.168.1.8,31450,42065,0,-999.0,1.0,-499.0
0,1,103.38.12.30,192.168.1.8,38213,42065,0,4.3,1.0,2.65
0,1,5.12.193.254,192.168.1.8,52212,42065,0,1.0,1.0,1.0
0,1,196.192.183.14,192.168.1.8,52599,42065,0,1.0,1.0,1.0
0,1,49.148.91.23,192.168.1.8,53664,42065,0,1.0,1.0,1.0
0,1,180.247.106.114,192.168.1.8,58034,42065,0,1.0,1.0,1.0
